Episodem, time, reward, streak
0 , 1314000000  , -789797959 ,streak 0
1 , 1061000000  , -614240590 ,streak 0
2 , 1556000000  , -864852834 ,streak 0
3 , 434000000 , -243598413 ,streak 0
4 , 1330000000  , -690801587 ,streak 1
5 , 964000000 ,  -477718594 ,streak 0
6 , 731000000 ,  -428165760 ,streak 0
7 , 223000000 ,  -119050567 ,streak 0
8 , 726000000 ,  -363664626 ,streak 1
9 , 390000000 ,  -192588435 ,streak 0
10,  1051000000l ,  -515238322 ,streak 1
11,  256000000  ,  -120558050 ,streak 0
12,  529000000  ,  -254119955 ,streak 1
13,  357000000  ,  -200080952 ,streak 0
14,  491000000  ,  -254111338 ,streak 1
15,  378000000  ,  -183585714 ,streak 0
16,  615000000  ,  -338139456 ,streak 1
17,  346000000  ,  -174578458 ,streak 0
18,  540000000  ,  -270622449 ,streak 1
19,  507000000  ,  -263114966 ,streak 0
20,  162000000  ,  -81536735 ,streak 0
21,  324000000  ,  -162573469 ,streak 1
22,  323000000  ,  -173073243 ,streak 2
23,  254000000  ,  -132557596 ,streak 3
24,  330000000  ,  -162574830 ,streak 4
25,  293000000  ,  -128066440 ,streak 5
26,  481000000  ,  -242109070 ,streak 6
27,  563000000  ,  -293127664 ,streak 0
28,  205000000  ,  -92046485 ,streak 0
29,  470000000  ,  -234606576 ,streak 1
30,  275000000  ,  -149062358 ,streak 0
31,  196000000  ,  -108544444 ,streak 1
32,  209000000  ,  -104047392 ,streak 2
33,  235000000  ,  -119053288 ,streak 3
34,  208000000  ,  -105547166 ,streak 4
35,  170000000  ,  -75538549 ,streak 5
36,  254000000  ,  -138557596 ,streak 6
37,  441000000  ,  -239100000 ,streak 7
38,  239000000  ,  -128054195 ,streak 8
39,  338000000  ,  -195576644 ,streak 9
40,  240000000  ,  -135554422 ,streak 10
41,  182000000  ,  -90541270 ,streak 11
42,  249000000  ,  -134056463 ,streak 12
43,  216000000  ,  -93548980 ,streak 13
44,  274000000  ,  -138562132 ,streak 14
45,  265000000  ,  -140060091 ,streak 15
46,  181000000  ,  -95041043 ,streak 16
47,  323000000  ,  -176073243 ,streak 17
48,  204000000  ,  -123546259 ,streak 18
49,  203000000  ,  -101046032 ,streak 19
50,  168000000  ,  -87538095 ,streak 20
51,  288000000  ,  -168565306 ,streak 21
52,  256000000  ,  -138558050 ,streak 22
53,  384000000  ,  -192587075 ,streak 23
54,  238000000  ,  -135553968 ,streak 24
55,  243000000  ,  -107055102 ,streak 25
56,  176000000  ,  -90539909 ,streak 26
57,  169000000  ,  -92038322 ,streak 27
58,  271000000  ,  -152061451 ,streak 28
59,  240000000  ,  -135554422 ,streak 29
60,  322000000  ,  -165573016 ,streak 30
61,  211000000  ,  -122047846 ,streak 31
62,  181000000  ,  -77041043 ,streak 32
63,  216000000  ,  -99548980 ,streak 33
64,  269000000  ,  -143060998 ,streak 34
65,  296000000  ,  -168567120 ,streak 35
66,  121000000  ,  -77027438 ,streak 36
67,  129000000  ,  -65029252 ,streak 37
68,  172000000  ,  -75539002 ,streak 38
69,  152000000  ,  -78534467 ,streak 39
70,  329000000  ,  -182074603 ,streak 40
71,  335000000  ,  -164075964 ,streak 41
72,  335000000  ,  -170075964 ,streak 42
73,  153000000  ,  -77034694 ,streak 43
74,  181000000  ,  -86041043 ,streak 44
75,  233000000  ,  -119052834 ,streak 45
76,  134000000  ,  -54530385 ,streak 46
77,  179000000  ,  -86040590 ,streak 47
78,  132000000  ,  -45529932 ,streak 48
79,  193000000  ,  -89043764 ,streak 49
80,  170000000  ,  -81538549 ,streak 50
81,  166000000  ,  -90537642 ,streak 51
82,  279000000  ,  -137063265 ,streak 52
83,  150000000  ,  -75534014 ,streak 53
84,  176000000  ,  -90539909 ,streak 54
85,  176000000  ,  -81539909 ,streak 55
86,  147000000  ,  -65033333 ,streak 56
87,  160000000  ,  -66536281 ,streak 57
88,  95000000  , -41021542 ,streak 58
89,  138000000  ,  -48531293 ,streak 59
90,  158000000  ,  -81535828 ,streak 60
91,  156000000  ,  -72535374 ,streak 61
92,  142000000  ,  -57532200 ,streak 62
93,  135000000  ,  -56030612 ,streak 63
94,  183000000  , -71041497 ,streak 64
95,  81000000  , -32018367 ,streak 65
96,  114000000  , -48525850 ,streak 66
97,  158000000  , -60535828 ,streak 67
98,  100000000  , -39522676 ,streak 68
99,  139000000  , -59031519 ,streak 69